//联锁表-标准站(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
175    |DCJL|SIDA,D13A    |SI     |13,(9-11)                     |11-13DG,9DG                     |D13;
176    |DCJL|SIDA,D17A    |SI     |13,9-11                     |11-13DG                     |D17;
177    |DCJL|S3DA,D1A    |S3     |(13),9-11,5-7                     |11-13DG,5DG                     |D17;
178    |DCJL|S3DA,D3A    |S3     |(13),(9-11),5-7,1-3                     |11-13DG,9DG,7DG,3DG                     |D13;
179    |DCJL|S3DA,D5A    |S3     |(13),(9-11),5-7,(1-3)                     |11-13DG,9DG,7DG,3DG,1DG                     |D13;
180    |DCJL|S3DA,D13A    |S3     |(13),(9-11)                     |11-13DG,9DG                     |D13;
181    |DCJL|S3DA,D17A    |S3     |(13),9-11                     |11-13DG                     |D17;
182    |DCJL|D1A,SIVDA    |D1     |(5-7),9-11,(15-17)                     |5DG,7DG,9DG,15DG,17-19DG                     |D11;
183    |DCJL|D1A,SIIDA    |D1     |(5-7),9-11,15-17                     |5DG,7DG,9DG,15DG                     |D11;
184    |DCJL|D1A,SIDA    |D1     |5-7,9-11,13                     |5DG,11-13DG                     |D9;
185    |DCJL|D1A,S3DA    |D1     |5-7,9-11,(13)                     |5DG,11-13DG                     |D9;
186    |DCJL|D1A,D11A    |D1     |(5-7)                     |5DG,7DG                     |D11;
187    |DCJL|D1A,D9A    |D1     |5-7                     |5DG                     |D9;
188    |DCJL|D3A,SIVDA    |D3     |1-3,5-7,9-11,(15-17)                     |3DG,7DG,9DG,15DG,17-19DG                     |D11;
189    |DCJL|D3A,SIIDA    |D3     |1-3,5-7,9-11,15-17                     |3DG,7DG,9DG,15DG                     |D11;
190    |DCJL|D3A,SIDA    |D3     |1-3,5-7,(9-11),13                     |3DG,7DG,9DG,11-13DG                     |D11;
191    |DCJL|D3A,S3DA    |D3     |1-3,5-7,(9-11),(13)                     |3DG,7DG,9DG,11-13DG                     |D11;
192    |DCJL|D3A,D11A    |D3     |1-3,5-7                     |3DG,7DG                     |D11;
193    |DCJL|D5A,SIVDA    |D5     |1-3,(19),15-17                     |1DG,17-19DG                     |D7;
194    |DCJL|D5A,SIIDA    |D5     |(1-3),5-7,9-11,15-17                     |1DG,3DG,7DG,9DG,15DG                     |D11;
195    |DCJL|D5A,SIDA    |D5     |(1-3),5-7,(9-11),13                     |1DG,3DG,7DG,9DG,11-13DG                     |D11;
196    |DCJL|D5A,S3DA    |D5     |(1-3),5-7,(9-11),(13)                     |1DG,3DG,7DG,9DG,11-13DG                     |D11;
197    |DCJL|D5A,D7A    |D5     |1-3                     |1DG                     |D7;
198    |DCJL|D5A,D11A    |D5     |(1-3),5-7                     |1DG,3DG,7DG                     |D11;
199    |DCJL|D13A,SIVDA    |D13     |9-11,(15-17)                     |9DG,15DG,17-19DG                     |SIV;
200    |DCJL|D13A,SIIDA    |D13     |9-11,15-17                     |9DG,15DG                     |SII;
201    |DCJL|D13A,SIDA    |D13     |(9-11),13                     |9DG,11-13DG                     |SI;
202    |DCJL|D13A,S3DA    |D13     |(9-11),(13)                     |9DG,11-13DG                     |S3;
203    |DCJL|D17A,SIDA    |D17     |9-11,13                     |11-13DG                     |SI;
204    |DCJL|D17A,S3DA    |D17     |9-11,(13)                     |11-13DG                     |S3;
205    |DCJL|D15A,SIVDA    |D15     |(19),15-17                     |17-19DG                     |SIV;
206    |DCJL|D7A,D5A    |D7     |1-3                     |1DG                     |D5;
207    |DCJL|D11A,D1A    |D11     |(5-7)                     |7DG,5DG                     |D1;
208    |DCJL|D11A,D3A    |D11     |5-7,1-3                     |7DG,3DG                     |D3;
209    |DCJL|D11A,D5A    |D11     |5-7,(1-3)                     |7DG,3DG,1DG                     |D5;
210    |DCJL|D9A,D1A    |D9     |5-7                     |5DG                     |D1;
####
//结束标识
