//联锁表-标准站(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
36    |LCJL|S3LA,D13A,XLA    |S3     |(13),(9-11),(5-7)                     |11-13DG,9DG,7DG,5DG,IAG,X3JG                     |D13,D11,D1,X;
37    |LCJL|XJLA,SIVLA    |XJ     |1-3,(19),15-17                     |IVAG,1DG,1-19WG,17-19DG,IVG                     |D5,D7,D15,SIV;
38    |LCJL|XJLA,SIILA    |XJ     |(1-3),5-7,9-11,15-17                     |IVAG,1DG,3DG,7DG,9DG,15DG,IIG                     |D5,D11,D13,SII;
39    |LCJL|XJLA,SILA    |XJ     |(1-3),5-7,(9-11),13                     |IVAG,1DG,3DG,7DG,9DG,11-13DG,IG                     |D5,D11,D13,SI;
40    |LCJL|XJLA,S3LA    |XJ     |(1-3),5-7,(9-11),(13)                     |IVAG,1DG,3DG,7DG,9DG,11-13DG,3G                     |D5,D11,D13,S3;
41    |LCJL|XJLA,D13A,SIVLA    |XJ     |(1-3),5-7,9-11,(15-17)                     |IVAG,1DG,3DG,9DG,15DG,17-19DG,IVG                     |D5,D11,D13,SIV;
42    |LCJL|XFLA,SIVLA    |XF     |1-3,5-7,9-11,(15-17)                     |IIAG,3DG,7DG,9DG,15DG,17-19DG,IVG                     |D3,D11,D13,SIV;
43    |LCJL|XFLA,SIILA    |XF     |1-3,5-7,9-11,15-17                     |IIAG,3DG,7DG,9DG,15DG,IIG                     |D3,D11,D13,SII;
44    |LCJL|XFLA,SILA    |XF     |1-3,5-7,(9-11),13                     |IIAG,3DG,7DG,9DG,11-13DG,IG                     |D3,D11,D13,SI;
45    |LCJL|XFLA,S3LA    |XF     |1-3,5-7,(9-11),(13)                     |IIAG,3DG,7DG,9DG,11-13DG,3G                     |D3,D11,D13,S3;
46    |LCJL|XLA,SIVLA    |X     |(5-7),9-11,(15-17)                     |IAG,5DG,7DG,9DG,15DG,17-19DG,IVG                     |D1,D11,D13,SIV;
47    |LCJL|XLA,SIILA    |X     |(5-7),9-11,15-17                     |IAG,5DG,7DG,9DG,15DG,IIG                     |D1,D11,D13,SII;
48    |LCJL|XLA,SILA    |X     |5-7,9-11,13                     |IAG,5DG,5-11WG,11-13DG,IG                     |D1,D9,D17,SI;
49    |LCJL|XLA,S3LA    |X     |5-7,9-11,(13)                     |IAG,5DG,5-11WG,11-13DG,3G                     |D1,D9,D17,S3;
50    |LCJL|XLA,D13A,SILA    |X     |(5-7),(9-11),13                     |IAG,5DG,9DG,11-13DG,IG                     |D1,D11,D13,SI;
51    |LCJL|XLA,D13A,S3LA    |X     |(5-7),(9-11),(13)                     |IAG,5DG,9DG,11-13DG,3G                     |D1,D11,D13,S3;
//延续
52    |LCJL|SJLA,XIVLA,XJLA      |SJ     |2-4,14-16,15-17,(19),1-3     |IVBG,2DG,2-16WG,16DG,IVG,17-19DG,1-19WG,1DG,IVAG     |D4,D6,D22,XIV,D15,D7,D5,XJ;
53    |LCJL|SJLA,XIVLA,XFLA      |SJ     |2-4,14-16,(15-17),9-11,5-7,1-3     |IVBG,2DG,2-16WG,16DG,IVG,17-19DG,15DG,9DG,7DG,3DG,IIAG     |D4,D6,D22,XIV,D13,D11,D3,XF;
54    |LCJL|SJLA,XIVLA,XLA      |SJ     |2-4,14-16,(15-17),9-11,(5-7)     |IVBG,2DG,2-16WG,16DG,IVG,17-19DG,15DG,9DG,7DG,5DG,IAG     |D4,D6,D22,XIV,D13,D11,D1,X;
55    |LCJL|SJLA,XIVLA,D13A,XJLA      |SJ     |2-4,14-16,(15-17),9-11,5-7,(1-3)     |IVBG,2DG,2-16WG,16DG,IVG,17-19DG,15DG,9DG,7DG,3DG,1DG,IVAG     |D4,D6,D22,XIV,D13,D11,D5,XJ;
56    |LCJL|SJLA,XIVLA,YXZDLA      |SJ     |2-4,14-16,15-17,19     |IVBG,2DG,2-16WG,16DG,IVG,17-19DG     |D4,D6,D22,XIV,YXZD;
57    |LCJL|SJLA,XIILA,XJLA      |SJ     |(2-4),10-12,6-8,14-16,15-17,9-11,5-7,(1-3)     |IVBG,2DG,4DG,6-12DG,14DG,IIG,15DG,9DG,7DG,3DG,1DG,IVAG     |D4,D8,D10,D20,XII,D13,D11,D5,XJ;
58    |LCJL|SJLA,XIILA,XFLA      |SJ     |(2-4),10-12,6-8,14-16,15-17,9-11,5-7,1-3     |IVBG,2DG,4DG,6-12DG,14DG,IIG,15DG,9DG,7DG,3DG,IIAG     |D4,D8,D10,D20,XII,D13,D11,D3,XF;
59    |LCJL|SJLA,XIILA,XLA      |SJ     |(2-4),10-12,6-8,14-16,15-17,9-11,(5-7)     |IVBG,2DG,4DG,6-12DG,14DG,IIG,15DG,9DG,7DG,5DG,IAG     |D4,D8,D10,D20,XII,D13,D11,D1,X;
60    |LCJL|SJLA,XILA,XJLA      |SJ     |(2-4),10-12,(6-8),10-12,18,13,(9-11),5-7,(1-3)     |IVBG,2DG,4DG,6-12DG,8-10DG,18DG,20DG,IG,11-13DG,9DG,7DG,3DG,1DG,IVAG     |D4,D8,D10,D14,D18,XI,D13,D11,D5,XJ;
61    |LCJL|SJLA,XILA,XFLA      |SJ     |(2-4),10-12,(6-8),10-12,18,13,(9-11),5-7,1-3     |IVBG,2DG,4DG,6-12DG,8-10DG,18DG,20DG,IG,11-13DG,9DG,7DG,3DG,IIAG     |D4,D8,D10,D14,D18,XI,D13,D11,D3,XF;
62    |LCJL|SJLA,XILA,XLA      |SJ     |(2-4),10-12,(6-8),10-12,18,13,9-11,5-7     |IVBG,2DG,4DG,6-12DG,8-10DG,18DG,20DG,IG,11-13DG,5-11WG,5DG,IAG     |D4,D8,D10,D14,D18,XI,D17,D9,D1,X;
63    |LCJL|SJLA,XILA,D13A,XLA      |SJ     |(2-4),10-12,(6-8),10-12,18,13,(9-11),(5-7)     |IVBG,2DG,4DG,6-12DG,8-10DG,18DG,20DG,IG,11-13DG,9DG,7DG,5DG,IAG     |D4,D8,D10,D14,D18,XI,D13,D11,D1,X;
64    |LCJL|SJLA,X3LA,XJLA      |SJ     |(2-4),10-12,(6-8),10-12,(18),20-22,(13),(9-11),5-7,(1-3)     |IVBG,2DG,4DG,6-12DG,8-10DG,18DG,20DG,20-24WG,11-13DG,9DG,7DG,3DG,1DG,IVAG     |D4,D8,D10,D14,D18,X3,D13,D11,D5,XJ;
65    |LCJL|SJLA,X3LA,XFLA      |SJ     |(2-4),10-12,(6-8),10-12,(18),20-22,(13),(9-11),5-7,1-3     |IVBG,2DG,4DG,6-12DG,8-10DG,18DG,20DG,20-24WG,11-13DG,9DG,7DG,3DG,IIAG     |D4,D8,D10,D14,D18,X3,D13,D11,D3,XF;
66    |LCJL|SJLA,X3LA,XLA      |SJ     |(2-4),10-12,(6-8),10-12,(18),20-22,(13),9-11,5-7     |IVBG,2DG,4DG,6-12DG,8-10DG,18DG,20DG,20-24WG,11-13DG,5-11WG,5DG,IAG     |D4,D8,D10,D14,D18,X3,D17,D9,D1,X;
67    |LCJL|SJLA,X3LA,D13A,XLA      |SJ     |(2-4),10-12,(6-8),10-12,(18),20-22,(13),(9-11),(5-7)     |IVBG,2DG,4DG,6-12DG,8-10DG,18DG,20DG,20-24WG,11-13DG,9DG,7DG,5DG,IAG     |D4,D8,D10,D14,D18,X3,D13,D11,D1,X;
68    |LCJL|SJLA,D20A,XIVLA,XJLA      |SJ     |(2-4),10-12,6-8,(14-16),15-17,(19),1-3     |IVBG,2DG,4DG,14DG,16DG,IVG,17-19DG,1-19WG,1DG,IVAG     |D4,D8,D10,D20,XIV,D15,D7,D5,XJ;
69    |LCJL|SJLA,D20A,XIVLA,XFLA      |SJ     |(2-4),10-12,6-8,(14-16),(15-17),9-11,5-7,1-3     |IVBG,2DG,4DG,14DG,16DG,IVG,17-19DG,15DG,9DG,7DG,3DG,IIAG     |D4,D8,D10,D20,XIV,D13,D11,D3,XF;
70    |LCJL|SJLA,D20A,XIVLA,XLA      |SJ     |(2-4),10-12,6-8,(14-16),(15-17),9-11,(5-7)     |IVBG,2DG,4DG,14DG,16DG,IVG,17-19DG,15DG,9DG,7DG,5DG,IAG     |D4,D8,D10,D20,XIV,D13,D11,D1,X;
71    |LCJL|SJLA,D20A,XIVLA,D13A,XJLA      |SJ     |(2-4),10-12,6-8,(14-16),(15-17),9-11,5-7,(1-3)     |IVBG,2DG,4DG,14DG,16DG,IVG,17-19DG,15DG,9DG,7DG,3DG,1DG,IVAG     |D4,D8,D10,D20,XIV,D13,D11,D5,XJ;
72    |LCJL|SJLA,D20A,XIVLA,YXZDLA      |SJ     |(2-4),10-12,6-8,(14-16),15-17,19     |IVBG,2DG,4DG,14DG,16DG,IVG,17-19DG     |D4,D8,D10,D20,XIV,YXZD;
//通过
73    |TGJL|STA,XFLA    |S     |2-4,10-12,6-8,14-16,15-17,9-11,5-7,1-3                     |IIBG,4DG,6-12DG,14DG,15DG,9DG,7DG,3DG,IIAG,IIG,S1LQ                     |D2,D8,D10,D20,XII,D13,D11,D3,XF;
74    |TGJL|XTA,SFLA    |X     |5-7,9-11,13,18,10-12,6-8                     |IAG,5DG,5-11WG,11-13DG,18DG,8-10DG,IBG,20DG,IG,X1LQ                     |D1,D9,D17,SI,D18,D14,D12,SF;
75    |TGJL|SJTA,XJLA    |SJ     |2-4,14-16,15-17,(19),1-3                     |IVBG,2DG,2-16WG,16DG,17-19DG,1-19WG,1DG,IVAG,IVG,XJJG                     |D4,D6,D22,XIV,D15,D7,D5,XJ;
76    |TGJL|XJTA,SJLA    |XJ     |1-3,(19),15-17,14-16,2-4                     |IVAG,1DG,1-19WG,17-19DG,16DG,2-16WG,2DG,IVBG,IVG,SJJG                     |D5,D7,D15,SIV,D22,D6,D4,SJ;
//调车
77    |DCJL|XIVDA,D4A    |XIV     |14-16,2-4                     |16DG,2DG                     |D22;
